FFID	Line	Point	Gps-time(us)-UTC Date	UTC-Time	Time-Source	Latitude	Longitude	Comment
57	2.0	7.0	1347330304987507	2022-09-16	02:24:46.987507	GPS	234337.776	1143857.768	
58	2.0	8.0	1347330321672998	2022-09-16	02:25:03.672998	GPS	234337.704	1143857.768	
59	2.0	9.0	1347330336298092	2022-09-16	02:25:18.298092	GPS	234337.596	1143857.768	
60	2.0	10.0	1347330352510681	2022-09-16	02:25:34.510681	GPS	234337.488	1143857.732	
61	2.0	11.0	1347330374024149	2022-09-16	02:25:56.024149	GPS	234337.344	1143857.696	
62	2.0	12.0	1347330392962871	2022-09-16	02:26:14.962871	GPS	234337.236	1143857.696	
63	2.0	13.0	1347330414612069	2022-09-16	02:26:36.612069	GPS	234337.128	1143857.660	
64	2.0	14.0	1347330435266549	2022-09-16	02:26:57.266549	GPS	234337.020	1143857.624	
65	2.0	15.0	1347330458570647	2022-09-16	02:27:20.570647	GPS	234336.876	1143857.552	
66	2.0	16.0	1347330471895868	2022-09-16	02:27:33.895868	GPS	234336.804	1143857.516	
67	2.0	17.0	1347330486510702	2022-09-16	02:27:48.510702	GPS	234336.696	1143857.516	
68	2.0	18.0	1347330504893199	2022-09-16	02:28:06.893199	GPS	234336.624	1143857.480	
69	2.0	19.0	1347330520656076	2022-09-16	02:28:22.656076	GPS	234336.516	1143857.444	
70	2.0	20.0	1347330542856764	2022-09-16	02:28:44.856764	GPS	234336.408	1143857.408	
71	2.0	21.0	1347330559392604	2022-09-16	02:29:01.392604	GPS	234336.300	1143857.408	
72	2.0	22.0	1347330577052203	2022-09-16	02:29:19.052203	GPS	234336.120	1143857.408	
73	2.0	23.0	1347330591077749	2022-09-16	02:29:33.077749	GPS	234336.048	1143857.372	
74	2.0	24.0	1347330605554166	2022-09-16	02:29:47.554166	GPS	234335.940	1143857.336	
75	2.0	25.0	1347330625910701	2022-09-16	02:30:07.910701	GPS	234335.796	1143857.372	
76	2.0	26.0	1347330646331255	2022-09-16	02:30:28.331255	GPS	234335.652	1143857.300	
77	2.0	27.0	1347330662845294	2022-09-16	02:30:44.845294	GPS	234335.544	1143857.300	
78	2.0	28.0	1347330679309170	2022-09-16	02:31:01.309170	GPS	234335.436	1143857.264	
79	2.0	29.0	1347330703688618	2022-09-16	02:31:25.688618	GPS	234335.256	1143857.264	
80	2.0	30.0	1347330724067583	2022-09-16	02:31:46.067583	GPS	234335.148	1143857.228	
81	2.0	31.0	1347330744874009	2022-09-16	02:32:06.874009	GPS	234335.004	1143857.156	
82	2.0	32.0	1347330764694192	2022-09-16	02:32:26.694192	GPS	234334.932	1143857.156	
83	2.0	33.0	1347330791238348	2022-09-16	02:32:53.238348	GPS	234334.824	1143857.156	
84	2.0	34.0	1347330808923850	2022-09-16	02:33:10.923850	GPS	234334.716	1143857.156	
85	2.0	35.0	1347330831846917	2022-09-16	02:33:33.846917	GPS	234334.608	1143857.156	
86	2.0	36.0	1347330848969956	2022-09-16	02:33:50.969956	GPS	234334.536	1143857.120	
87	2.0	37.0	1347330863812866	2022-09-16	02:34:05.812866	GPS	234334.464	1143857.120	
88	2.0	38.0	1347330880750354	2022-09-16	02:34:22.750354	GPS	234334.320	1143857.120	
89	2.0	39.0	1347330894959930	2022-09-16	02:34:36.959930	GPS	234334.248	1143857.084	
90	2.0	40.0	1347330914463578	2022-09-16	02:34:56.463578	GPS	234334.140	1143857.084	
