序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,σZ,HRMS,VRMS,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,VDOP,HDOP,截止高度角(°),参考站名称,基站B,基站L,基站H(相位中心),基站距离,基站方位,里程,偏距,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,点校验dB,点校验dL,点校验dH,点校验dN,点校验dE,点校验dZ,测量时长,N坐标差,E坐标差,高差
176,pt175,2625278.5022,566228.8421,121.4178," 23:43:39.64586"," 114:38:58.26270",121.4178,,,,,,,1.8765,0.0077,0.0088,0.0234,0.0116,0.0234,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:27:16.0,2022-09-16 11:27:16.0,2022-09-16 03:27:16.0,2022-09-16 03:27:16.0,,2.0,44,44,1.2696,0.7000,0.7151,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,137.4829," 190:28:56.18786",0.0000,0.0000," 00:16:29",," 00:03:00"," 00:16:12",," 23:43:39.64586"," 114:38:58.26270",121.4178,,,-2436610.7940,5309890.4215,2550749.5934," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
177,pt176,2625283.7217,566229.7278,121.4193," 23:43:39.81537"," 114:38:58.29481",121.4193,,,,,,,1.8765,0.0074,0.0093,0.0250,0.0119,0.0250,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:27:41.0,2022-09-16 11:27:41.0,2022-09-16 03:27:41.0,2022-09-16 03:27:41.0,,3.0,43,40,1.3445,0.8000,0.7233,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,142.7756," 190:27:02.53238",0.0000,0.0000," 00:26:38",," -00:24:36"," -00:10:12",," 23:43:39.81537"," 114:38:58.29481",121.4193,,,-2436610.7460,5309888.1361,2550754.3683," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
178,pt177,2625287.1496,566230.2199,121.4100," 23:43:39.92671"," 114:38:58.31274",121.4100,,,,,,,1.8765,0.0080,0.0103,0.0254,0.0130,0.0254,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:28:05.0,2022-09-16 11:28:05.0,2022-09-16 03:28:05.0,2022-09-16 03:28:05.0,,3.0,44,43,1.3398,0.7000,0.7068,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,146.2357," 190:23:48.02188",0.0000,0.0000," 00:02:24",," 00:00:00"," -00:02:24",," 23:43:39.92672"," 114:38:58.31274",121.4100,,,-2436610.6289,5309886.6638,2550757.5005," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
179,pt178,2625290.3791,566230.6915,121.4175," 23:43:40.03161"," 114:38:58.32991",121.4175,,,,,,,1.8765,0.0081,0.0092,0.0279,0.0123,0.0279,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:28:27.0,2022-09-16 11:28:27.0,2022-09-16 03:28:27.0,2022-09-16 03:28:27.0,,3.0,42,42,1.2705,0.7000,0.7159,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,149.4968," 190:21:03.92797",0.0000,0.0000," 00:36:07",," -00:19:12"," -00:30:36",," 23:43:40.03161"," 114:38:58.32991",121.4175,,,-2436610.5322,5309885.2870,2550760.4579," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
180,pt179,2625293.5959,566231.2074,121.4344," 23:43:40.13608"," 114:38:58.34864",121.4344,,,,,,,1.8765,0.0078,0.0090,0.0273,0.0119,0.0273,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:28:41.0,2022-09-16 11:28:41.0,2022-09-16 03:28:41.0,2022-09-16 03:28:41.0,,3.0,42,42,1.2707,0.7000,0.7161,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,152.7533," 190:19:28.75681",0.0000,0.0000," 00:19:48",," -00:19:48"," 00:00:00",," 23:43:40.13609"," 114:38:58.34864",121.4344,,,-2436610.4814,5309883.9042,2550763.4073," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
181,pt180,2625297.5486,566231.7950,121.4259," 23:43:40.26447"," 114:38:58.37002",121.4259,,,,,,,1.8765,0.0078,0.0091,0.0272,0.0120,0.0272,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:28:52.0,2022-09-16 11:28:52.0,2022-09-16 03:28:52.0,2022-09-16 03:28:52.0,,2.0,44,43,1.2708,0.7000,0.7162,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,156.7471," 190:16:37.27800",0.0000,0.0000," 00:38:31",," -00:38:24"," -00:03:00",," 23:43:40.26447"," 114:38:58.37002",121.4259,,,-2436610.3658,5309882.2000,2550767.0198," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
182,pt181,2625300.5581,566232.3080,121.4285," 23:43:40.36221"," 114:38:58.38862",121.4285,,,,,,,1.8765,0.0077,0.0090,0.0268,0.0118,0.0268,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:29:08.0,2022-09-16 11:29:08.0,2022-09-16 03:29:08.0,2022-09-16 03:29:08.0,,4.0,44,44,1.2710,0.7000,0.7164,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,159.7995," 190:15:55.77188",0.0000,0.0000," 00:16:36",," 00:10:48"," 00:12:36",," 23:43:40.36221"," 114:38:58.38862",121.4285,,,-2436610.3408,5309880.8828,2550769.7738," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
183,pt182,2625303.6896,566232.7952,121.4444," 23:43:40.46392"," 114:38:58.40632",121.4444,,,,,,,1.8765,0.0077,0.0090,0.0269,0.0119,0.0269,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:29:21.0,2022-09-16 11:29:21.0,2022-09-16 03:29:21.0,2022-09-16 03:29:21.0,,3.0,44,44,1.2711,0.7000,0.7166,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,162.9671," 190:14:16.14080",0.0000,0.0000," 00:24:11",," 00:21:00"," -00:12:00",," 23:43:40.46392"," 114:38:58.40632",121.4444,,,-2436610.2775,5309879.5425,2550772.6448," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
184,pt183,2625306.8273,566233.3216,121.4462," 23:43:40.56582"," 114:38:58.42541",121.4462,,,,,,,1.8765,0.0077,0.0089,0.0268,0.0118,0.0268,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:29:35.0,2022-09-16 11:29:35.0,2022-09-16 03:29:35.0,2022-09-16 03:29:35.0,,3.0,44,44,1.2713,0.7000,0.7167,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,166.1480," 190:13:27.02710",0.0000,0.0000," 00:27:36",," -00:27:36"," 00:00:00",," 23:43:40.56583"," 114:38:58.42541",121.4462,,,-2436610.2435,5309878.1719,2550775.5156," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
185,pt184,2625310.1360,566233.8815,121.4268," 23:43:40.67328"," 114:38:58.44571",121.4268,,,,,,,1.8765,0.0077,0.0089,0.0267,0.0118,0.0267,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:29:47.0,2022-09-16 11:29:47.0,2022-09-16 03:29:47.0,2022-09-16 03:29:47.0,,3.0,44,44,1.2714,0.7000,0.7168,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,169.5035," 190:12:42.82216",0.0000,0.0000," 00:26:15",," 00:25:48"," -00:04:48",," 23:43:40.67328"," 114:38:58.44571",121.4268,,,-2436610.2038,5309876.7068,2550778.5343," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
186,pt185,2625314.0969,566234.4924,121.4076," 23:43:40.80193"," 114:38:58.46791",121.4076,,,,,,,1.8765,0.0075,0.0087,0.0232,0.0115,0.0232,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:30:02.0,2022-09-16 11:30:02.0,2022-09-16 03:30:02.0,2022-09-16 03:30:02.0,,2.0,44,44,1.2715,0.7000,0.7170,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,173.5098," 190:10:42.71950",0.0000,0.0000," 00:22:59",," -00:06:00"," -00:22:12",," 23:43:40.80193"," 114:38:58.46791",121.4076,,,-2436610.1038,5309874.9810,2550782.1499," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
187,pt186,2625318.7074,566235.1774,121.4186," 23:43:40.95168"," 114:38:58.49284",121.4186,,,,,,,1.8765,0.0075,0.0084,0.0222,0.0112,0.0222,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:30:23.0,2022-09-16 11:30:23.0,2022-09-16 03:30:23.0,2022-09-16 03:30:23.0,,3.0,44,44,1.2717,0.7000,0.7172,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,178.1683," 190:08:00.00195",0.0000,0.0000," 00:58:27",," 00:47:24"," 00:34:12",," 23:43:40.95168"," 114:38:58.49284",121.4186,,,-2436609.9765,5309873.0108,2550786.3721," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
188,pt187,2625322.0513,566235.7382,121.4238," 23:43:41.06028"," 114:38:58.51318",121.4238,,,,,,,1.8765,0.0074,0.0083,0.0219,0.0112,0.0219,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:30:42.0,2022-09-16 11:30:42.0,2022-09-16 03:30:42.0,2022-09-16 03:30:42.0,,2.0,44,44,1.2718,0.7000,0.7174,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,181.5583," 190:07:18.81017",0.0000,0.0000," 00:23:03",," -00:14:24"," -00:18:00",," 23:43:41.06028"," 114:38:58.51318",121.4238,,,-2436609.9413,5309871.5529,2550789.4329," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
189,pt188,2625325.1997,566236.2218,121.4251," 23:43:41.16254"," 114:38:58.53076",121.4251,,,,,,,1.8765,0.0074,0.0083,0.0218,0.0112,0.0218,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:30:55.0,2022-09-16 11:30:55.0,2022-09-16 03:30:55.0,2022-09-16 03:30:55.0,,3.0,44,44,1.2719,0.7000,0.7175,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,184.7424," 190:05:52.61252",0.0000,0.0000," 02:14:20",," 01:06:00"," 01:57:00",," 23:43:41.16254"," 114:38:58.53076",121.4251,,,-2436609.8664,5309870.1957,2550792.3135," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
190,pt189,2625328.2901,566236.7509,121.4180," 23:43:41.26291"," 114:38:58.54993",121.4180,,,,,,,1.8765,0.0074,0.0083,0.0219,0.0111,0.0219,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:31:07.0,2022-09-16 11:31:07.0,2022-09-16 03:31:07.0,2022-09-16 03:31:07.0,,3.0,44,44,1.2720,0.7000,0.7176,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,187.8775," 190:05:29.57057",0.0000,0.0000," 07:28:56",," -00:25:48"," 07:28:12",," 23:43:41.26291"," 114:38:58.54993",121.4180,,,-2436609.8391,5309868.8339,2550795.1375," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
191,pt190,2625332.4773,566237.4315,121.4112," 23:43:41.39890"," 114:38:58.57464",121.4112,,,,,,,1.8765,0.0074,0.0083,0.0219,0.0112,0.0219,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:31:23.0,2022-09-16 11:31:23.0,2022-09-16 03:31:23.0,2022-09-16 03:31:23.0,,3.0,45,45,1.2721,0.6000,0.7178,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,192.1188," 190:04:21.26316",0.0000,0.0000," 00:46:54",," 00:46:48"," 00:03:00",," 23:43:41.39890"," 114:38:58.57464",121.4112,,,-2436609.7702,5309867.0063,2550798.9649," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
192,pt191,2625336.2134,566238.0806,121.4125," 23:43:41.52023"," 114:38:58.59816",121.4125,,,,,,,1.8765,0.0074,0.0083,0.0219,0.0112,0.0219,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:31:38.0,2022-09-16 11:31:38.0,2022-09-16 03:31:38.0,2022-09-16 03:31:38.0,,4.0,45,45,1.2722,0.6000,0.7179,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,195.9105," 190:04:06.21476",0.0000,0.0000," 00:29:27",," -00:16:12"," -00:24:36",," 23:43:41.52024"," 114:38:58.59816",121.4125,,,-2436609.7497,5309865.3642,2550802.3829," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
193,pt192,2625339.2786,566238.5715,121.4301," 23:43:41.61979"," 114:38:58.61598",121.4301,,,,,,,1.8765,0.0074,0.0083,0.0218,0.0111,0.0218,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:31:52.0,2022-09-16 11:31:52.0,2022-09-16 03:31:52.0,2022-09-16 03:31:52.0,,2.0,45,45,1.2722,0.6000,0.7180,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,199.0139," 190:03:11.76289",0.0000,0.0000," 00:22:51",," -00:05:24"," -00:22:12",," 23:43:41.61979"," 114:38:58.61598",121.4301,,,-2436609.7012,5309864.0482,2550805.1939," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
194,pt193,2625342.3688,566239.0530,121.4397," 23:43:41.72015"," 114:38:58.63348",121.4397,,,,,,,1.8765,0.0074,0.0083,0.0219,0.0111,0.0219,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:32:22.0,2022-09-16 11:32:22.0,2022-09-16 03:32:22.0,2022-09-16 03:32:22.0,,2.0,45,45,1.2724,0.6000,0.7183,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,202.1403," 190:02:05.09957",0.0000,0.0000," 00:16:56",," 00:15:36"," 00:06:36",," 23:43:41.72016"," 114:38:58.63348",121.4397,,,-2436609.6371,5309862.7201,2550808.0246," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
195,pt194,2625345.6271,566239.5848,121.4490," 23:43:41.82598"," 114:38:58.65277",121.4490,,,,,,,1.8765,0.0074,0.0083,0.0219,0.0112,0.0219,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:32:35.0,2022-09-16 11:32:35.0,2022-09-16 03:32:35.0,2022-09-16 03:32:35.0,,3.0,45,45,1.2724,0.6000,0.7184,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,205.4411," 190:01:20.80420",0.0000,0.0000," 00:37:34",," -00:33:36"," -00:16:48",," 23:43:41.82598"," 114:38:58.65277",121.4490,,,-2436609.5910,5309861.3092,2550811.0088," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
196,pt195,2625349.6551,566240.2997,121.4402," 23:43:41.95679"," 114:38:58.67866",121.4402,,,,,,,1.8765,0.0075,0.0085,0.0224,0.0113,0.0224,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:32:49.0,2022-09-16 11:32:49.0,2022-09-16 03:32:49.0,2022-09-16 03:32:49.0,,3.0,45,45,1.2724,0.7000,0.7185,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,209.5318," 190:01:23.76089",0.0000,0.0000," 00:20:18",," -00:11:24"," 00:16:48",," 23:43:41.95679"," 114:38:58.67866",121.4402,,,-2436609.5787,5309859.5242,2550814.6896," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
197,pt196,2625354.6383,566241.1275,121.4359," 23:43:42.11863"," 114:38:58.70869",121.4359,,,,,,,1.8765,0.0074,0.0084,0.0220,0.0112,0.0220,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:33:02.0,2022-09-16 11:33:02.0,2022-09-16 03:33:02.0,2022-09-16 03:33:02.0,,4.0,45,44,1.2725,0.7000,0.7186,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,214.5827," 190:00:33.69915",0.0000,0.0000," 00:00:36",," 00:00:00"," -00:00:36",," 23:43:42.11863"," 114:38:58.70869",121.4359,,,-2436609.5145,5309857.3448,2550819.2461," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
198,pt197,2625357.9185,566241.6926,121.4577," 23:43:42.22516"," 114:38:58.72917",121.4577,,,,,,,1.8765,0.0074,0.0083,0.0220,0.0112,0.0220,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:33:18.0,2022-09-16 11:33:18.0,2022-09-16 03:33:18.0,2022-09-16 03:33:18.0,,4.0,45,45,1.2725,0.6000,0.7187,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,217.9107," 190:00:20.76255",0.0000,0.0000," 00:07:18",," 00:07:12"," 00:01:12",," 23:43:42.22517"," 114:38:58.72917",121.4577,,,-2436609.4999,5309855.9223,2550822.2553," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
199,pt198,2625361.0818,566242.2386,121.4578," 23:43:42.32790"," 114:38:58.74896",121.4578,,,,,,,1.8765,0.0074,0.0083,0.0220,0.0111,0.0220,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:33:30.0,2022-09-16 11:33:30.0,2022-09-16 03:33:30.0,2022-09-16 03:33:30.0,,2.0,45,45,1.2725,0.6000,0.7188,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,221.1206," 190:00:09.66821",0.0000,0.0000," 00:21:48",," -00:21:36"," 00:03:00",," 23:43:42.32790"," 114:38:58.74896",121.4578,,,-2436609.4788,5309854.5327,2550825.1489," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
200,pt199,2625363.1963,566242.5568,121.4706," 23:43:42.39657"," 114:38:58.76053",121.4706,,,,,,,1.8765,0.0074,0.0083,0.0220,0.0112,0.0220,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:33:41.0,2022-09-16 11:33:41.0,2022-09-16 03:33:41.0,2022-09-16 03:33:41.0,,3.0,45,45,1.2725,0.6000,0.7189,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,223.2579," 189:59:19.78835",0.0000,0.0000," 00:37:12",," 00:00:00"," 00:37:12",," 23:43:42.39658"," 114:38:58.76053",121.4706,,,-2436609.4270,5309853.6339,2550827.0883," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
201,pt200,2625363.5023,566241.2701,121.4830," 23:43:42.40671"," 114:38:58.71516",121.4830,,,,,,,1.8765,0.0074,0.0083,0.0220,0.0112,0.0220,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:33:54.0,2022-09-16 11:33:54.0,2022-09-16 03:33:54.0,2022-09-16 03:33:54.0,,2.0,45,45,1.2725,0.6000,0.7190,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,223.3399," 189:39:00.52026",0.0000,0.0000," 00:04:41",," 00:03:36"," 00:03:00",," 23:43:42.40671"," 114:38:58.71516",121.4830,,,-2436608.2113,5309854.0662,2550827.3788," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
202,pt201,2625363.7542,566239.5537,121.4843," 23:43:42.41515"," 114:38:58.65460",121.4843,,,,,,,1.8765,0.0074,0.0084,0.0221,0.0112,0.0221,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:35:05.0,2022-09-16 11:35:05.0,2022-09-16 03:35:05.0,2022-09-16 03:35:05.0,,3.0,46,45,1.2724,0.6000,0.7195,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,223.3072," 189:12:18.52507",0.0000,0.0000," 00:39:51",," 00:37:48"," -00:12:36",," 23:43:42.41516"," 114:38:58.65460",121.4843,,,-2436606.6094,5309854.6876,2550827.6171," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
203,pt202,2625364.9209,566239.7741,121.4853," 23:43:42.45304"," 114:38:58.66257",121.4853,,,,,,,1.8765,0.0074,0.0083,0.0220,0.0112,0.0220,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:35:20.0,2022-09-16 11:35:20.0,2022-09-16 03:35:20.0,2022-09-16 03:35:20.0,,2.0,45,45,1.2723,0.6000,0.7196,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,224.4941," 189:12:46.87582",0.0000,0.0000," 00:21:14",," -00:15:36"," -00:14:24",," 23:43:42.45304"," 114:38:58.66257",121.4853,,,-2436606.6192,5309854.1680,2550828.6846," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
204,pt203,2625364.7656,566241.4340,121.4708," 23:43:42.44775"," 114:38:58.72114",121.4708,,,,,,,1.8765,0.0074,0.0083,0.0220,0.0112,0.0220,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:35:34.0,2022-09-16 11:35:34.0,2022-09-16 03:35:34.0,2022-09-16 03:35:34.0,,2.0,46,45,1.2830,0.6000,0.7387,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,224.6128," 189:38:14.40892",0.0000,0.0000," 00:22:59",," -00:06:00"," -00:22:12",," 23:43:42.44775"," 114:38:58.72114",121.4708,,,-2436608.1490,5309853.5235,2550828.5297," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
205,pt204,2625364.5319,566242.8503,121.4548," 23:43:42.43994"," 114:38:58.77111",121.4548,,,,,,,1.8765,0.0074,0.0084,0.0221,0.0112,0.0221,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:35:46.0,2022-09-16 11:35:46.0,2022-09-16 03:35:46.0,2022-09-16 03:35:46.0,,2.0,46,45,1.2830,0.6000,0.7387,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,224.6242," 190:00:12.49367",0.0000,0.0000," 00:12:04",," -00:05:24"," -00:10:48",," 23:43:42.43994"," 114:38:58.77111",121.4548,,,-2436609.4693,5309853.0079,2550828.3034," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
206,pt205,2625368.0634,566243.4517,121.4603," 23:43:42.55463"," 114:38:58.79291",121.4603,,,,,,,1.8765,0.0074,0.0084,0.0223,0.0112,0.0223,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:36:04.0,2022-09-16 11:36:04.0,2022-09-16 03:36:04.0,2022-09-16 03:36:04.0,,4.0,46,44,1.2829,0.6000,0.7387,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,228.2062," 189:59:53.40120",0.0000,0.0000," 00:12:01",," -00:12:00"," -00:00:36",," 23:43:42.55464"," 114:38:58.79291",121.4603,,,-2436609.4405,5309851.4644,2550831.5359," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
207,pt206,2625372.2985,566244.1480,121.4445," 23:43:42.69218"," 114:38:58.81817",121.4445,,,,,,,1.8765,0.0074,0.0084,0.0223,0.0112,0.0223,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:36:20.0,2022-09-16 11:36:20.0,2022-09-16 03:36:20.0,2022-09-16 03:36:20.0,,4.0,46,44,1.3019,0.6000,0.7411,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,232.4977," 189:59:09.44189",0.0000,0.0000," 00:27:40",," 00:18:00"," 00:21:00",," 23:43:42.69218"," 114:38:58.81817",121.4445,,,-2436609.3747,5309849.6051,2550835.4035," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
208,pt207,2625375.5214,566244.6562,121.4462," 23:43:42.79686"," 114:38:58.83663",121.4462,,,,,,,1.8765,0.0074,0.0084,0.0224,0.0112,0.0224,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:36:34.0,2022-09-16 11:36:34.0,2022-09-16 03:36:34.0,2022-09-16 03:36:34.0,,4.0,46,44,1.3019,0.6000,0.7411,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,235.7597," 189:58:18.32395",0.0000,0.0000," 00:02:28",," -00:00:36"," -00:02:24",," 23:43:42.79686"," 114:38:58.83663",121.4462,,,-2436609.3100,5309848.2106,2550838.3524," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
209,pt208,2625378.5442,566245.1297,121.4476," 23:43:42.89503"," 114:38:58.85384",121.4476,,,,,,,1.8765,0.0074,0.0084,0.0224,0.0112,0.0224,1.8000,杆高(P),Hi-Target:D8 Pro,1,RTK固定解,2022-09-16 11:36:48.0,2022-09-16 11:36:48.0,2022-09-16 03:36:48.0,2022-09-16 03:36:48.0,,4.0,45,44,1.3020,0.6000,0.7411,10,," 23:43:35.25594"," 114:38:57.35796",123.4133,238.8185," 189:57:29.06532",0.0000,0.0000," 00:26:39",," 00:03:36"," -00:26:24",," 23:43:42.89504"," 114:38:58.85384",121.4476,,,-2436609.2465,5309846.9038,2550841.1181," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000,0.0000,0.0000,0:0:1,0.0000,0.0000,0.0000
